variables=x[mm],y[mm],z[mm],dummy
  zone i=         151 j=         222 k=           1 f=point
 -6.5423618003E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.2447166690E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.9597106654E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.6868489697E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.4256524902E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.1756576916E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.9364163911E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.7074955256E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.4884768941E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.2789568796E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.0785461524E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.8868693581E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.7035647940E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.5282840754E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.3606917936E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.2004651691E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.0472937005E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.9008788115E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.7609334970E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.6271819700E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.4993593098E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.3772111142E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.2604931538E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.1489710321E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.0424198501E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.9406238771E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.8433762276E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.7504785445E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.6617406903E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.5769804446E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.4960232099E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.4187017247E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.3448557845E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.2743319710E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.2069833891E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.1426694114E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.0812554316E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.0226126247E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -9.6661771635E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -9.1315275827E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -8.6210491278E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -8.1336624396E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -7.6683351647E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -7.2240800148E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.7999528971E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.3950511125E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.0085116222E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.6395093782E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.2872557189E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.9509968248E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.6300122357E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.3236134250E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.0311424304E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.7519705399E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.4854970296E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.2311479528E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.9883749787E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.7566542779E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
